,Location 1,longitude,latitude,type
171,"1001 Howard St Baltimore, MD ",0.0,0.0,park
172,"4004 Penhurst Ave Baltimore, MD ",-76.6854985,39.3391204,park
173,"655 Melvin Dr Baltimore, MD ",-76.625652,39.2846046,park
174,"2000 Pennsylvania Ave Baltimore, MD ",-76.6377638,39.3058857,park
175,"1500 Pentwood Rd Baltimore, MD ",-76.5908114382,39.3487785,park
176,"Myrtle Ave Baltimore, MD ",-76.6303921,39.2972101,park
177,"6301 Perring Pkwy Baltimore, MD ",-76.5735182399,39.3642574158,park
178,"3901 Pleasant Pl Baltimore, MD ",-76.6321324,39.3355386,park
179,"3001 Poplar Ter Baltimore, MD ",-76.667931,39.312773,park
180,"5700 Liberty Heights &amp; Perring Pkwy Baltimore, MD ",0.0,0.0,park
181,"3009 Spaulding Ave Baltimore, MD ",-76.6721218577,39.349613,park
182,"400 Quinton St Baltimore, MD ",-76.531615,39.288882,park
183,"5602 Radecke Ave Baltimore, MD ",-76.5366773,39.3302037,park
184,"201 Reedbird Ave Baltimore, MD ",-76.6145521,39.2476078,park
185,"751 Reservoir St Baltimore, MD ",-76.6307864,39.312581,park
186,"502 Presstman St Baltimore, MD ",-76.6359536,39.3073209,park
187,"301 Randall St Baltimore, MD ",0.0,0.0,park
188,"424 Robert St Baltimore, MD ",-76.6333977,39.3076258,park
189,"1201 Pennsylvania Ave Baltimore, MD ",-76.6297,39.299664,park
190,"4265 Rokeby Rd Baltimore, MD ",-76.6890332567,39.29873125,park
191,"1201 36th St Baltimore, MD ",0.0,0.0,park
192,"840 Franklintown Rd Baltimore, MD ",-76.6673464,39.2978162,park
193,"1201 Rosedale St Baltimore, MD ",0.0,0.0,park
194,"1511 Mucculloh St Baltimore, MD ",0.0,0.0,park
195,"1402 Rutter St Baltimore, MD ",-76.6230581998,39.30822445,park
196,"2719 O Donnell St Baltimore, MD ",0.0,0.0,park
197,"4754 Melbourne Rd Baltimore, MD ",-76.6958556745,39.2725242548,park
198,"6521 Parnell Ave Baltimore, MD ",-76.5319064898,39.2589000204,park
199,"230 Mccurley St Baltimore, MD ",-76.673746,39.2833111,park
200,"2001 Druid Hill Ave Baltimore, MD ",-76.6353708,39.307706,park
201,"902 Stiles St Baltimore, MD ",-76.6019952,39.2871178,park
202,"450 St Mary St Baltimore, MD ",-76.6227555556,39.2977717778,park
203,"606 Paca St Baltimore, MD ",-76.6458753,39.2625649,park
