,BuildingAddress,Location,longitude,latitude,type
247,3706 NORTONIA ROAD,"(39.30876452, -76.68080029)",-76.68080029,39.30876452,vacant
248,3115 WALBROOK AVE,"(39.30977953, -76.66999949)",-76.66999949,39.30977953,vacant
249,2848 CLIFTON AVE,"(39.3115999, -76.66572394)",-76.66572394,39.3115999,vacant
250,2307 GARRISON BLVD,"(39.31470432, -76.67643017)",-76.67643017,39.31470432,vacant
251,3340 PIEDMONT AVE,"(39.31649632, -76.67441357)",-76.67441357,39.31649632,vacant
252,3338 PIEDMONT AVE,"(39.31649816, -76.67434522)",-76.67434522,39.31649816,vacant
253,324 S PARRISH ST,"(39.28373364, -76.64158819)",-76.64158819,39.28373364,vacant
254,2201 DRUID HILL AVE,"(39.3092571, -76.63724485)",-76.63724485,39.3092571,vacant
255,539 ROBERT ST,"(39.30587125, -76.6351795)",-76.6351795,39.30587125,vacant
256,1531 DRUID HILL AVE,"(39.30439456, -76.63112941)",-76.63112941,39.30439456,vacant
257,1430 MCCULLOH ST,"(39.30380096, -76.62977548)",-76.62977548,39.30380096,vacant
258,1403 DRUID HILL AVE,"(39.30306203, -76.62947255)",-76.62947255,39.30306203,vacant
259,231 E NORTH AVE,"(39.31086903, -76.61257977)",-76.61257977,39.31086903,vacant
260,1312 MYRTLE AVE,"(39.29899658, -76.63297647)",-76.63297647,39.29899658,vacant
261,1137 MYRTLE AVE,"(39.2979297, -76.63092678)",-76.63092678,39.2979297,vacant
262,118 W MULBERRY ST,"(39.29417156, -76.61804071)",-76.61804071,39.29417156,vacant
263,2015 ASHTON ST,"(39.28241212, -76.64898299)",-76.64898299,39.28241212,vacant
264,2241 WILKENS AVE,"(39.28017559, -76.65141381)",-76.65141381,39.28017559,vacant
265,407 S PARRISH ST,"(39.28293103, -76.64117073)",-76.64117073,39.28293103,vacant
266,412 S CALHOUN ST,"(39.28300864, -76.63948115)",-76.63948115,39.28300864,vacant
267,914 S CAREY ST,"(39.28174038, -76.63713404)",-76.63713404,39.28174038,vacant
268,1273 SARGEANT ST,"(39.28114672, -76.63545255)",-76.63545255,39.28114672,vacant
269,1154 WARD ST,"(39.28168498, -76.63323791)",-76.63323791,39.28168498,vacant
270,1143 NANTICOKE ST,"(39.28031992, -76.63103961)",-76.63103961,39.28031992,vacant
271,813 W CROSS ST,"(39.28001111, -76.62909244)",-76.62909244,39.28001111,vacant
272,423 SCOTT ST,"(39.28331169, -76.62863618)",-76.62863618,39.28331169,vacant
273,614 SCOTT ST,"(39.28174401, -76.62902371)",-76.62902371,39.28174401,vacant
274,103 W HENRIETTA ST,"(39.27875756, -76.61605725)",-76.61605725,39.27875756,vacant
275,1105 APPLETON ST,"(39.30131081, -76.64827516)",-76.64827516,39.30131081,vacant
276,1100 APPLETON ST,"(39.30121515, -76.64876829)",-76.64876829,39.30121515,vacant
277,1104 APPLETON ST,"(39.30128983, -76.64877681)",-76.64877681,39.30128983,vacant
278,1106 APPLETON ST,"(39.30132659, -76.64877972)",-76.64877972,39.30132659,vacant
279,1110 APPLETON ST,"(39.30140373, -76.64878583)",-76.64878583,39.30140373,vacant
280,1112 APPLETON ST,"(39.30155464, -76.64894948)",-76.64894948,39.30155464,vacant
281,428 E LAFAYETTE AVE,"(39.31027783, -76.60984567)",-76.60984567,39.31027783,vacant
282,411 E NORTH AVE,"(39.31103184, -76.61050714)",-76.61050714,39.31103184,vacant
283,1821 N BOND ST,"(39.31112489, -76.59673261)",-76.59673261,39.31112489,vacant
284,1700 N DALLAS ST,"(39.3098247, -76.59776059)",-76.59776059,39.3098247,vacant
285,1737 N BOND ST,"(39.31030866, -76.5966856)",-76.5966856,39.31030866,vacant
286,1609 E LAFAYETTE AVE,"(39.31041117, -76.59629156)",-76.59629156,39.31041117,vacant
287,311 E LANVALE ST,"(39.30873249, -76.61144998)",-76.61144998,39.30873249,vacant
288,313 E LANVALE ST,"(39.30873463, -76.61139581)",-76.61139581,39.30873463,vacant
289,407 PITMAN PL,"(39.30829551, -76.6104507)",-76.6104507,39.30829551,vacant
290,1526 HOLBROOK ST,"(39.30772403, -76.60340306)",-76.60340306,39.30772403,vacant
291,1424 E OLIVER ST,"(39.30750494, -76.59874573)",-76.59874573,39.30750494,vacant
292,1418 AISQUITH ST,"(39.30654158, -76.60256309)",-76.60256309,39.30654158,vacant
293,1420 AISQUITH ST,"(39.30657804, -76.60256521)",-76.60256521,39.30657804,vacant
