,rel_type,Location 1,longitude,latitude,type
154,Church,"4231 YORK RD Baltimore, MD ",-76.6093069268,39.340952,religious
155,Church,"4216 LIBERTY HEIGHTS AVE Baltimore, MD ",-76.6894648392,39.3299434,religious
156,Church,"2840 THE Baltimore, MD ",-76.6107589,39.2908816,religious
157,Church,"413 AISQUITH ST Baltimore, MD ",-76.6014705,39.2954083,religious
158,Church,"1563 FULTON AVE Baltimore, MD ",0.0,0.0,religious
159,Church,"4015 LIBERTY HEIGHTS AVE Baltimore, MD ",-76.686972,39.3283716,religious
160,Church,"2409 ROSLYN AVE Baltimore, MD ",-76.6778122385,39.3159733,religious
161,Church,"2109 GREENMOUNT AVE Baltimore, MD ",-76.6092532751,39.31405125,religious
162,Church,"4839 HAZELWOOD AVE Baltimore, MD ",-76.5300463399,39.3418235,religious
163,Church,"3905 SPRINGDALE AVE Baltimore, MD ",-76.6853871016,39.3252452,religious
164,Church,"2660 POLK ST Baltimore, MD ",-76.5948164069,39.320647,religious
165,Church,"2660 POLK ST Baltimore, MD ",-76.5948164069,39.320647,religious
166,Church,"6400 BELAIR RD Baltimore, MD ",-76.5335023708,39.3527707,religious
167,Church,"5310 HARFORD RD Baltimore, MD ",-76.5629540604,39.35133585,religious
168,Church,"2500 FREDERICK AVE Baltimore, MD ",-76.6561062511,39.2834616,religious
169,Church,"5110 FREDERICK AVE Baltimore, MD ",-76.6996608,39.2814859,religious
170,Church,"1752 CHESTER ST Baltimore, MD ",0.0,0.0,religious
171,Church,"3401 MANNASOTA AVE Baltimore, MD ",-76.5698727785,39.32070185,religious
172,Church,"3106 LIBERTY HEIGHTS AVE Baltimore, MD ",-76.6686272,39.3237113,religious
173,Church,"1505 EUTAW PL Baltimore, MD ",-76.6279522,39.3058539,religious
174,Church,"3200 GARRISON BLVD Baltimore, MD ",-76.6821590307,39.32436725,religious
175,Church,"627 BOULDIN ST Baltimore, MD ",0.0,0.0,religious
176,Church,"1701 MULBERRY ST Baltimore, MD ",0.0,0.0,religious
177,Church,"2500 ARUNAH AVE Baltimore, MD ",-76.6565659515,39.2957249,religious
178,Church,"1401 MILTON AVE Baltimore, MD ",-76.7587644,39.3522913,religious
179,Church,"141 CLINTON ST Baltimore, MD ",-76.6435849,39.402314,religious
180,Church,"309 CATHEDRAL ST Baltimore, MD ",-76.6165029682,39.29346325,religious
181,Church,"4430 REISTERSTOWN RD Baltimore, MD ",-76.669322266,39.339535,religious
182,Church,"5345 PARK HEIGHTS AVE Baltimore, MD ",-76.6796406667,39.350222,religious
183,Church,"1701 CHESTER ST Baltimore, MD ",0.0,0.0,religious
184,Church,"2118 MADISON AVE Baltimore, MD ",-76.6354994,39.3098219,religious
185,Church,"3836 FOREST PARK AVE Baltimore, MD ",-76.7178055,39.2968557,religious
186,Church,"829 ARLINGTON AVE Baltimore, MD ",-76.7057479,39.226499,religious
187,Church,"2247 EUTAW PL Baltimore, MD ",-76.6349200971,39.3117673,religious
188,Church,"417 EATON ST Baltimore, MD ",-76.5652323333,39.2873677778,religious
189,Church,"1300 EDEN ST Baltimore, MD ",0.0,0.0,religious
190,Church,"810 WALNUT AVE Baltimore, MD ",-76.6890112245,39.294925449,religious
191,Church,"2901 JOSEPH AVE Baltimore, MD ",-76.6251644135,39.2507116,religious
192,Church,"5202 PARK HEIGHTS AVE Baltimore, MD ",-76.6764045,39.3490137,religious
193,Church,"1847 BALTIMORE ST Baltimore, MD ",-76.5251439,39.295335,religious
194,Church,"4615 ROLAND AVE Baltimore, MD ",-76.6352587576,39.3474401,religious
195,Church,"928 GORSUCH AVE Baltimore, MD ",-76.6030656391,39.3261334,religious
196,Church,"1414 MCCULLOH ST Baltimore, MD ",-76.6293793216,39.3035881,religious
197,Church,"4650 REISTERSTOWN RD Baltimore, MD ",-76.6734077097,39.34059705,religious
198,Church,"807 43RD ST Baltimore, MD ",0.0,0.0,religious
199,Church,"4003 NORTHERN PKWY Baltimore, MD ",-76.6914821807,39.3487634254,religious
200,Church,"6218 REISTERSTOWN RD Baltimore, MD ",-76.6649041,39.3350032,religious
201,Church,"2819 FREDERICK AVE Baltimore, MD ",-76.663212485,39.27947005,religious
202,Church,"2016 PRATT ST Baltimore, MD ",0.0,0.0,religious
203,Church,"2312 HARFORD RD Baltimore, MD ",-76.5963520006,39.31632065,religious
204,Church,"1613 CHARLOTTE AVE Baltimore, MD ",-76.5400975716,39.2736297,religious
205,Church,"4016 PARK HEIGHTS AVE Baltimore, MD ",-76.6635808,39.3351066,religious
206,Church,"2226 PARK AVE Baltimore, MD ",-76.6306598565,39.316215,religious
207,Church,"4663 PIMLICO RD Baltimore, MD ",-76.6679446476,39.344794,religious
208,Church,"1340 CALHOUN ST Baltimore, MD ",0.0,0.0,religious
209,Church,"2519 PRESTON ST Baltimore, MD ",0.0,0.0,religious
210,Church,"4 BROADWAY Baltimore, MD ",-76.5942427013,39.29192005,religious
211,Church,"1501 MCCULLOH ST Baltimore, MD ",-76.6296648902,39.3044096,religious
212,Church,"110 WEST ST Baltimore, MD ",-76.3794051,39.6689941,religious
213,Church,"2931 MADISON ST Baltimore, MD ",0.0,0.0,religious
214,Church,"301 MONROE ST Baltimore, MD ",-76.6327555,39.4584216,religious
215,Church,"3200 MONUMENT ST Baltimore, MD ",0.0,0.0,religious
216,Church,"922 PRESTON ST Baltimore, MD ",0.0,0.0,religious
217,Church,"533 SMALLWOOD ST Baltimore, MD ",0.0,0.0,religious
218,Church,"1501 OLIVER ST Baltimore, MD ",-76.6500448,39.3680983,religious
219,Church,"4116 GROVELAND AVE Baltimore, MD ",-76.6891374,39.3409398,religious
220,Church,"728 COLLINGTON AVE Baltimore, MD ",0.0,0.0,religious
221,Church,"525 CAROLINE ST Baltimore, MD ",0.0,0.0,religious
222,Church,"2114 EDMONDSON AVE Baltimore, MD ",-76.6510180665,39.29529635,religious
223,Church,"1925 DUKELAND ST Baltimore, MD ",0.0,0.0,religious
224,Church,"1714 MADISON AVE Baltimore, MD ",-76.6318629488,39.3067223,religious
225,Church,"3100 WALBROOK AVE Baltimore, MD ",-76.6696521255,39.31039055,religious
226,Church,"3500 EDMONDSON AVE Baltimore, MD ",-76.675744,39.2942954,religious
227,Church,"814 BROADWAY Baltimore, MD ",-76.5935763,39.2820193,religious
228,Church,"3200 WALBROOK AVE Baltimore, MD ",-76.6712823643,39.31032315,religious
229,Church,"1400 HORNERS LN Baltimore, MD ",-76.5537909,39.30913135,religious
230,Church,"1501 GILMOR ST Baltimore, MD ",0.0,0.0,religious
231,Church,"3523 HAYWARD AVE Baltimore, MD ",-76.6806331111,39.3486732222,religious
232,Church,"2301 MAYFIELD AVE Baltimore, MD ",-76.5810924028,39.32733635,religious
233,Church,"1013 DURHAM ST Baltimore, MD ",0.0,0.0,religious
234,Church,"2043 BALTIMORE ST Baltimore, MD ",-76.5251439,39.295335,religious
235,Church,"1429 NORTH AVE Baltimore, MD ",0.0,0.0,religious
236,Church,"1219 DRUID HILL AVE Baltimore, MD ",-76.6277345273,39.3014825811,religious
237,Church,"4602 SIPPLE AVE Baltimore, MD ",-76.5532137256,39.3271753,religious
238,Church,"520 DOSWELL AVE Baltimore, MD ",-76.6581470281,39.29414875,religious
239,Church,"1700 CAROLINE ST Baltimore, MD ",0.0,0.0,religious
240,Church,"5501 LIBERTY HEIGHTS AVE Baltimore, MD ",-76.7059277577,39.334251,religious
241,Church,"4321 OLD YORK RD Baltimore, MD ",-76.6072459,39.342815,religious
242,Church,"4321 OLD YORK RD Baltimore, MD ",-76.6072459,39.342815,religious
243,Church,"745 FAYETTE ST Baltimore, MD ",0.0,0.0,religious
244,Church,"745 FAYETTE ST Baltimore, MD ",0.0,0.0,religious
245,Church,"1407 BOLTON ST Baltimore, MD ",-76.6250829796,39.3063589796,religious
246,Church,"5239 REISTERSTOWN RD Baltimore, MD ",-76.6847200977,39.34405785,religious
247,Church,"3050 LIBERTY HEIGHTS AVE Baltimore, MD ",-76.6668274724,39.32319275,religious
248,Church,"5011 PARK HEIGHTS AVE Baltimore, MD ",-76.6739549983,39.3479725543,religious
249,Church,"3131 BALTIMORE ST Baltimore, MD ",-76.5251439,39.295335,religious
250,Church,"528 22ND ST Baltimore, MD ",0.0,0.0,religious
251,Church,"5828 YORK RD Baltimore, MD ",-76.6098886,39.355177,religious
252,Church,"1308 BEASON ST Baltimore, MD ",-76.5937224175,39.2723406,religious
253,Church,"3215 BELVEDERE AVE Baltimore, MD ",0.0,0.0,religious
254,Church,"4815 EASTERN AVE Baltimore, MD ",-76.5552829,39.2869347,religious
255,Church,"2720 NORTH AVE Baltimore, MD ",-76.4596949,39.310429,religious
256,Church,"1025 POTOMAC ST Baltimore, MD ",0.0,0.0,religious
