the_geom,BLDG_NUM,PRG__NUM,NAME,GRADES,ADDRESS,ZIPCODE,CATEGORY,TYPE,x_1,y_1
POINT (-76.61248378278319 39.30803876158805),32,336,Baltimore Montessori Public Charter School,Pre-K - 6.,1600 Guilford Ave,21202,Charter,Charter,1421986.22199,598010.128706
POINT (-76.57235350578289 39.32427862669836),332,337,Afya Public Chater School,6-8,2800 Brendan Ave,21213,Charter,Charter,1433313.83089,603975.899583
POINT (-76.56831103399317 39.28300256314407),230,338,"Friendship Academy of Math, Science and Technology",6-11,801 S Highland Ave,21202,TS,TS,1434528.52499,588947.296438
POINT (-76.56046050900801 39.36667059337472),93,339,Friendship Academy of Engineering & Technology,6-11,2500 E. Northern Pkwy,21214,TS,TS,1436603.96998,619432.504497
POINT (-76.584994164967 39.31834456099461),40,341,REACH! Partnership School,6-11,2801 St Lo Drive,21224,TS,TS,1429747.65988,601798.016144
POINT (-76.7053693200516 39.28491801464975),80,342,"KASA Knowledge, Achievement,  Success Acad",6-11,201 North Bend Rd,21229,TS,TS,1395730.30403,589490.62442
POINT (-76.6765395539391 39.31027306486719),411,343,Baltimore CIVITAS,6-11,2000 Edgewood St,21216,TS,TS,1403857.98593,598753.351957
POINT (-76.58711093164477 39.3146714503126),457,344,Baltimore Rising Star Academy,6 - 8.,2200 Sinclair Lane,21212,Alt,Alt,1429154.83495,600457.436476
POINT (-76.62484164806091 39.29847541396304),451,345,New Hope Academy,6 - 12.,900 Druid Hill Avenue,21201,SPED,SPED,1418503.73387,594512.253156
POINT (-76.55487233794463 39.35044675010212),41,346,City Neighbors Hamilton,K-4,5609 Sefton Ave,21214,Charter,Charter,1438212.71086,613530.850946
POINT (-76.66511851259422 39.33393054558253),38,347,KIPP Harmony,K-1,2810 Shirley Ave,21215,Charter,Charter,1407057.99889,607381.858651
POINT (-76.61802747712801 39.29518519711453),348,348,Baltimore Leadership School for Young Women,6-7,128 W. Franklin St,21201,TS,TS,1420437.15816,593321.853634
POINT (-76.56046050900801 39.36667059337472),93,349,NACA Freedom and Democracy Academy II,6-7,2500 E Northern Pkwy,21214,TS,TS,1436603.96998,619432.504497
POINT (-76.6765395539391 39.31027306486719),411,364,Bluford Drew Jemison STEM Academy West,"6-7, 9",2000 Edgewood St,21216,TS,TS,1403857.98593,598753.351957
POINT (-76.66431501929591 39.31788736653329),79,365,Baltimore Liberation Diploma Plus HS,N/A,2801 N. Dukeland Street,21216,TS,Alt,1407306.76185,601539.218761
POINT (-76.59302914405694 39.317551251048975),456,366,Baltimore Antioch Diploma Plus HS,N/A,2555 Harford Rd,21218,TS,Alt,1427475.69001,601498.832687
POINT (-76.53060420584198 39.28568262549329),255,367,Baltimore Community HS,N/A,6820 Fait Ave,21224,TS,Alt,1445196.82484,589976.125417
POINT (-76.59097866034361 39.30381493351338),101,368,East Baltimore Community School,"K-2, 5-6",1101 N Wolfe St.,21213,Contract,Contract,1428078.23703,596498.228515
POINT (-76.61027811053644 39.35756943602892),373,373,Tunbridge Public Charter School,K-3,5502 York Road,21212,Charter,Charter,1422533.32391,616053.548328
POINT (-76.54604564730656 39.32044967130755),170,374,Vanguard Collegiate MS,6,5001 Sinclair Lane,21206,TS,TS,1440763.15687,602617.209387
POINT (-76.55487233794463 39.35044675010212),41,376,City Neighbors HS,9,5609 Sefton Ave,21214,Charter,Charter,1438212.71086,613530.850946
POINT (-76.7053693200516 39.28491801464975),80,377,Green Street Academy,6-7,201 North Bend Rd,21229,TS,TS,1395730.30403,589490.62442
POINT (-76.60109460386387 39.355571227707415),46,378,Baltimore IT Academy,6-8,900 Woodbourne Ave,21212,TS,TS,1425133.26884,615336.944118
POINT (-76.6880670548026 39.29129179008375),400,400,Edmondson Westside,9 - 12.,501 Athol Ave,21229,HS,Traditional W/ CTE,1400619.86216,591828.417645
POINT (-76.70457717506211 39.36450912742685),401,401,Northwestern,9 - 12.,6900 Park Heights Avenue,21215,HS,Traditional,1395860.70895,618481.190783
POINT (-76.64339249438729 39.3470105941968),403,403,Baltimore Polytechnic Institute,9 - 12.,1400 W Cold Spring Lane,21209,HS,Entrance Crit,1413184.78487,612169.352356
POINT (-76.53664338321494 39.29284020399625),405,405,Patterson,9 - 12.,100 Kane Street,21224,HS,Traditional W/ CTE,1443474.20493,592574.38236
POINT (-76.68962557800826 39.332590763689744),406,406,Forest Park,9 - 12.,3701 Eldorado Avenue,21207,HS,Traditional,1400127.61085,606869.363613
POINT (-76.64339249438729 39.3470105941968),407,407,Western,9 - 12.,4600 Falls Road,21209,HS,Entrance Crit,1413184.78487,612169.352356
POINT (-76.5910678361912 39.33164335614338),410,410,Mergenthaler Vocactional Technical,9 - 12.,3500 Hillen Road,21218,HS,CTE,1428007.59708,606634.120317
POINT (-76.59302914405694 39.317551251048975),456,413,Achievement Academy @ Harbor City,9 - 12.,2555 Harford Road,21218,Alt,Alt,1427475.69001,601498.832687
POINT (-76.59863949102142 39.29551799440531),414,414,Paul Laurence Dunbar,9 - 12.,1400 Orleans St,21202,HS,Traditional,1425923.67507,593466.610234
POINT (-76.61740479808452 39.29813796388953),415,415,Baltimore School For The Arts,9 - 12.,712 Cathedral Street,21201,HS,Entrance Crit,1420608.87697,594398.078516
POINT (-76.60745273817199 39.27654867050883),416,416,Digital Harbor,9 - 12.,1100 Covington St.,21230,HS,Traditional,1423459.13505,586546.588313
POINT (-76.5707133431419 39.36582303357632),402,418,W.E.B. DuBois,9 - 12.,2201 Pinewood Avenue,21214,HS,Traditional,1433706.66804,619109.997268
POINT (-76.5707133431419 39.36582303357632),402,419,Reginald F. Lewis School,9 - 12.,6401 Pioneer Drive,21214,HS,Traditional,1433706.66804,619109.997268
POINT (-76.59805232136216 39.2969215026381),133,421,The National Academy Foundation,6 - 12.,500 N. Caroline Street,21230,MS/HS,Traditional,1426087.59994,593978.540969
POINT (-76.62115527745205 39.25282707451084),181,422,New Era Academy,"6-7, 9 - 12.",2700 Seamon Avenue,21225,TS,TS,1419615.97607,577890.157135
POINT (-76.59633601795801 39.28995746885601),57,423,Baltimore Freedom Academy,6 - 12,1601 E. Lombard Street,21231,Charter,Charter,1426584.53989,591444.177599
POINT (-76.584994164967 39.31834456099461),40,425,Heritage,"Pre-K, 9 - 12",2801 Saint Lo Drive,21213,HS,Traditional,1429747.65988,601798.016144
POINT (-76.63768450542183 39.33089572606996),56,427,Academy For College and Career Exploration,"6, 9 - 12.",1300 W. 36th Street,21211,TS,TS,1414822.33737,606306.105225
POINT (-76.64258604187367 39.29718721951757),78,428,Baltimore Talent Development,9 - 12.,1500 Harlem Avenue,21217,HS,Innovation HS,1413483.90599,594022.904069
POINT (-76.63996002071349 39.2902092944863),178,429,Vivien T. Thomas Medical Arts Academy,9 - 12.,100 N. Calhoun Street,21223,HS,Traditional,1414237.10789,591484.252979
POINT (-76.64258604187367 39.29718721951757),78,430,Augusta Fells Savage Institute of Visual Arts,9 - 12.,1500 Harlem Avenue,21217,HS,Traditional,1413483.90599,594022.904069
POINT (-76.54604564730656 39.32044967130755),170,431,Maritime Industries Academy,9 - 12.,5001 Sinclair Lane,21217,HS,Traditional,1440763.15687,602617.209387
POINT (-76.65876723181155 39.30995300099783),432,432,Coppin Academy,9 - 12.,2500 W. North Avenue,21216,Charter,Charter,1408887.16092,598655.082141
POINT (-76.62786626712052 39.30290218205807),130,433,Renaissance Academy,9 - 12.,1301 McCulloh Street,21217,HS,Innovation HS,1417641.19393,596121.115096
POINT (-76.66431501929591 39.31788736653329),79,435,Institute of Business and Entrepreneurship,9 - 12.,2801 N. Dukeland Street,21216,HS,Traditional,1407306.76185,601539.218761
POINT (-76.65502313511236 39.31482071945233),450,450,Frederick Douglass,9 - 12.,2301 Gwynns Falls Parkway,21217,HS,Traditional,1409939.8701,600432.04545
POINT (-76.65246431328033 39.30470903368173),454,454,Carver Vocational Technical,9 - 12.,2201 W Presstman Street,21216,HS,Entrance Crit,1410677.8719,596751.789688
POINT (-76.59697883373755 39.325706560784255),480,480,Baltimore City College,9 - 12.,3220 The Alameda,21218,HS,Entrance Crit,1426345.11616,604464.305102
